Date,USD,USD,EUR,EUR,GBP,GBP,AUD,AUD,JPY,JPY,CAD,CAD,SEK,SEK,SGD,SGD,CNH,CNH,INR,INR,LKR,LKR
,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High
31/10/22,103.1000,104.3489,,,,,,,,,,,,,,,,,,,,

30/10/22,106.9000,106.9000,,,,,,,,,,,,,,,,,,,,

27/10/22,100.7000,103.0000,,,,,,,,,,,,,,,,,,,,

26/10/22,100.5200,103.5600,,,,,,,,,,,,,,,,,,,,

25/10/22,100.4100,104.9000,,,,,,,,,,,,,,,,,,,,

24/10/22,104.9500,104.9500,,,,,,,,,,,,,,,,,,,,

23/10/22,103.5700,104.7500,,,,,,,,,,,,,,,,,,,,

20/10/22,102.6900,102.6900,,,,,,,,,,,,,,,,,,,,

19/10/22,100.0500,105.0000,97.7829,103.5594,112.2661,119.1855,63.0215,66.1395,0.6692,0.7054,73.1092,76.7263,,,70.4122,73.9072,,,,,,

18/10/22,100.0300,102.7200,,,,,,,,,,,,,,,,,,,,

17/10/22,100.0600,103.6465,,,,,,,,,,,,,,,,,,,,

16/10/22,107.5000,107.5000,,,,,,,,,,,,,,,,,,,,

13/10/22,103.1500,105.5500,,,,,,,,,,,,,,,,,,,,

12/10/22,104.7600,105.6600,,,,,,,,,,,,,,,,,,,,

11/10/22,100.1000,105.0000,,,,,,,,,,,,,,,,,,,,

10/10/22,102.3500,107.5000,,,,,,,,,,,,,,,,,,,,

06/10/22,100.0000,103.3400,,,,,,,,,,,,,,,,,,,,

04/10/22,103.1000,104.1000,,,,,,,,,,,,,,,,,,,,

03/10/22,102.9000,104.2500,,,,,,,,,,,,,,,,,,,,

02/10/22,104.4000,105.2000,,,,,,,,,,,,,,,,,,,,

